School Name,LA Name,LA,Estab,URN,Region,Type of School,Phase,Pre-16 School Budget Share,Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,Total Grant Funding  £000,Total Income  £000
St John Fisher Catholic Primary School - Alvaston,Derby,831,2008,138514,East Midlands,Academy Sponsor Led,State-funded primary,798,99,27,97,0,8,5,0,0,0,1034,1053
Redhill Foundation Primary School,Derbyshire,830,5206,137897,East Midlands,Academy Converter,State-funded primary,713,18,30,54,0,40,0,0,0,0,855,876
Pennine Way Junior School,Derbyshire,830,5210,137543,East Midlands,Academy Converter,State-funded primary,"1,195",154,0,14,0,45,0,0,0,0,1408,1435
Humberstone Junior School,Leicester,856,2237,139983,East Midlands,Academy Converter,State-funded primary,"1,322",143,0,21,0,16,0,0,0,0,1502,1606
Kirby Muxloe Primary School,Leicestershire,855,2055,140315,East Midlands,Academy Converter,State-funded primary,"1,158",35,55,105,0,51,0,0,0,0,1404,1444
Lubenham All Saints Church of England Primary School,Leicestershire,855,3056,139864,East Midlands,Academy Converter,State-funded primary,419,28,13,44,0,9,0,0,0,21,534,555
Brocks Hill Primary School,Leicestershire,855,2333,139739,East Midlands,Academy Converter,State-funded primary,"1,125",34,54,116,0,28,0,0,0,0,1357,1448
Thringstone Primary School,Leicestershire,855,2164,139767,East Midlands,Academy Converter,State-funded primary,550,68,24,179,0,8,0,0,0,0,829,880
Battling Brook Community Primary School,Leicestershire,855,2162,139737,East Midlands,Academy Converter,State-funded primary,"1,566",156,78,300,0,26,8,0,0,54,2188,2361
Captains Close Primary School,Leicestershire,855,2187,139845,East Midlands,Academy Converter,State-funded primary,419,56,22,222,0,0,12,0,0,12,743,777
Gilmorton Chandler Church of England Primary School,Leicestershire,855,3325,139854,East Midlands,Academy Converter,State-funded primary,700,18,30,75,0,0,0,0,0,15,838,885
Swallowdale Primary School and Community Centre,Leicestershire,855,2185,139341,East Midlands,Academy Converter,State-funded primary,"1,196",119,47,98,0,0,0,0,0,0,1460,1539
Asfordby Hill Primary School,Leicestershire,855,2004,139340,East Midlands,Academy Converter,State-funded primary,558,47,18,54,0,0,0,0,0,0,677,686
Frisby Church of England Primary School,Leicestershire,855,3035,139744,East Midlands,Academy Converter,State-funded primary,411,3,14,57,0,0,0,0,0,0,485,494
Hall Orchard Barrow CE Primary School,Leicestershire,855,3008,140230,East Midlands,Academy Converter,State-funded primary,"1,495",78,0,36,0,0,0,0,0,0,1609,1852
Old Dalby Church of England Primary School,Leicestershire,855,3067,140095,East Midlands,Academy Converter,State-funded primary,423,30,14,40,0,9,0,0,0,0,516,545
Pastures Primary School The - Narborough,Leicestershire,855,2380,139620,East Midlands,Academy Converter,State-funded primary,943,41,41,18,0,23,76,0,0,0,1142,1308
Great Dalby School,Leicestershire,855,2018,139342,East Midlands,Academy Converter,State-funded primary,322,12,17,200,0,10,0,0,0,0,561,587
Stanton Under Bardon Community Primary School,Leicestershire,855,2070,140251,East Midlands,Academy Converter,State-funded primary,392,23,12,75,0,1,0,0,0,5,508,521
Mercenfeld Primary School,Leicestershire,855,2069,139441,East Midlands,Academy Converter,State-funded primary,985,58,0,107,0,4,2,0,0,36,1192,1222
